"Name","architecture","dropout","finetune_lr_factor","group_loss_weight","img_size","label_smoothing_eps","learning_rate","num_unfreeze_blocks","scheduler_factor","transform_mode","use_weighted_sampler","weight_decay","LR/P1","LR/P2","Loss/P1_train","Loss/P1_val","Acc/P1_train","Acc/P1_val","P1 Acc/train","Acc/P2_train","Acc/P2_val","P2 Acc/train","P1 Loss/train","P1 Loss/val","P1 Acc/val","P1 LR","P2 Acc/val","P2 Loss/train"
"fresh-sweep-18","resnet18","0.3","0.1","0.3","224","0.15","0.0003","3","0.3","pad","false","0.00001","0.0003","0.000029999999999999997","2.657099775969982","2.710861049592495","0.72410419469243","0.6743276283618582","","0.8788064082181729","0.7110024449877751","","","","","","",""
"crimson-sweep-17","efficientnet_b0","0.1","0.03","0.7","300","0.2","0.0008","3","0.3","pad","true","0.0005","0.0008","0.000024","2.9983696062117815","3.4898888990283012","0.9416656475480004","0.697799511002445","","0.9755411520117404","0.7618581907090465","","","","","","",""
"twilight-sweep-16","resnet18","0.2","0.1","0.3","300","0.2","0.0005","2","0.7","standard","true","0.00001","0.0005","0.00005","2.764050204306841","2.755013555288315","0.801883331295096","0.7784841075794621","","0.910725204842852","0.7916870415647922","","","","","","",""
"absurd-sweep-15","resnet18","0.3","0.03","0.7","224","0.2","0.0008","4","0.3","pad","true","0.0005","0.0008","0.000024","3.571279708296061","3.709611348807812","0.7545554604378134","0.6542787286063569","","0.8671884554237496","0.6904645476772616","","","","","","",""
"dauntless-sweep-14","efficientnet_v2_s","0.1","0.03","0.7","224","0.15","0.001","4","0.5","pad","false","0","0.001","0.00003","2.423455897718668","2.7740462571382523","0.8888345358933594","0.7555012224938875","","0.9737067384126208","0.8684596577017115","","","","","","",""
"dainty-sweep-13","efficientnet_b0","0.4","0.1","0.7","224","0.3","0.0008","2","0.5","augmented","true","0.0001","0.0008","0.00008","4.195277821272612","4.208216458559036","0.7881863764216706","0.7026894865525672","","0.8537360890302067","0.7466992665036675","","","","","","",""
"crisp-sweep-12","efficientnet_b0","0.2","0.1","0.5","300","0.3","0.0003","4","0.7","augmented","true","0.0005","0.0003","0.000029999999999999997","3.755729464814067","3.808396473526954","0.8181484652072888","0.7457212713936431","","0.9130487954017366","0.8347188264058679","","","","","","",""
"grateful-sweep-11","efficientnet_v2_s","0.1","0.1","0.5","300","0.2","0.001","2","0.5","pad","true","0.0001","0.001","0.0001","2.2927409671247005","2.438245438039303","0.951693775223187","0.873838630806846","","0.9867922220863398","0.8845965770171149","","","","","","",""
"vocal-sweep-10","resnet50","0.2","0.1","0.5","224","0.3","0.001","2","0.5","pad","true","0.0005","0.001","0.0001","3.057853151112795","3.3377864360809326","0.9849578084872204","0.8410757946210269","","0.993029228323346","0.8601466992665037","","","","","","",""
"frosty-sweep-9","efficientnet_v2_s","0.5","0.1","0.3","224","0.15","0.0008","4","0.7","standard","true","0.00001","0.0008","0.00008","2.072408437728882","2.0286747217178345","0.8527577351106763","0.8220048899755501","","0.9657576128164364","0.9002444987775061","","","","","","",""
"robust-sweep-8","efficientnet_v2_s","0.1","0.05","0.7","224","0.3","0.0003","4","0.7","augmented","true","0.0001","0.0003","0.000015","3.68973352201283","3.6593504771590233","0.8560596795890913","0.8200488997555012","","0.9313929313929314","0.9080684596577016","","","","","","",""
"deft-sweep-7","efficientnet_b0","0.5","0.05","0.7","300","0.15","0.001","2","0.5","augmented","true","0","0.001","0.00005","3.002526666969061","3.0447966307401657","0.8177815824874648","0.7393643031784841","","0.8559373853491501","0.7789731051344744","","","","","","",""
"iconic-sweep-6","resnet50","0.4","0.1","0.7","300","0.15","0.0003","3","0.5","standard","true","0.0001","0.0003","0.000029999999999999997","2.7941803820431232","2.846566140651703","0.8737923443805796","0.8151589242053789","","0.9423994129876484","0.8640586797066014","","","","","","",""
"fiery-sweep-5","efficientnet_v2_s","0.1","0.1","0.3","300","0.1","0.001","3","0.7","pad","true","0.00001","0.001","0.0001","1.2788453185930848","1.4562767706811428","0.9554848966613672","0.8713936430317848","","0.9904610492845788","0.8865525672371638","","","","","","",""
"sunny-sweep-4","efficientnet_v2_s","0.4","0.05","0.5","224","0.3","0.001","4","0.3","pad","false","0","0.001","0.00005","3.4360630568116903","3.5139778032898903","0.8512902042313807","0.7691931540342298","","0.9694264400146752","0.8767726161369194","","","","","","",""
"vital-sweep-3","efficientnet_v2_s","0.3","0.1","0.7","300","0.3","0.001","4","0.7","pad","false","0.00001","0.001","0.0001","3.4172868710011244","3.456294246017933","0.9448452977864744","0.8753056234718827","","0.990216460804696","0.8948655256723717","","","","","","",""
"atomic-sweep-2","efficientnet_b0","0.3","0.05","0.7","224","0.1","0.001","3","0.5","pad","true","0.0001","0.001","0.00005","2.3724580109119415","3.141725018620491","0.8860217683747096","0.6063569682151589","","0.9505931270637152","0.6772616136919315","","","","","","",""
"absurd-sweep-1","efficientnet_v2_s","0.5","0.05","0.7","224","0.1","0.001","2","0.5","augmented","true","0.0005","0.001","0.00005","2.169644641689956","2.08530667051673","0.8397945456768986","0.8068459657701712","","0.922220863397334","0.8801955990220048","","","","","","",""
